Date,MTK,TSMC
2020/1/2,441.5,339
2020/1/3,434.5,339.5
2020/1/6,424,332
2020/1/7,426,329.5
2020/1/8,430.5,329.5
2020/1/9,437,337.5
2020/1/10,432,339.5
2020/1/13,422,341.5
2020/1/14,416,346
2020/1/15,416,340
2020/1/16,421,334.5
2020/1/17,420.5,333
2020/1/20,419,333
2020/1/30,383.5,316.5
2020/1/31,388,320
2020/2/3,382,315
2020/2/4,390.5,325
2020/2/5,381,327.5
2020/2/6,382,332.5
2020/2/7,381,328
2020/2/10,380,327.5
2020/2/11,390,331.5
2020/2/12,401.5,335
2020/2/13,408.5,335
2020/2/14,405.5,335
2020/2/17,398,331.5
2020/2/18,392,322
2020/2/19,388.5,326.5
2020/2/20,394,325.5
2020/2/21,388,325
2020/2/24,377,320
2020/2/25,378.5,322
2020/2/26,375,318.5
2020/2/27,360,316
2020/3/2,363,311
2020/3/3,372,317.5
2020/3/4,370.5,320.5
2020/3/5,385,323
2020/3/6,378.5,315
2020/3/9,366.5,305.5
2020/3/10,373.5,307
2020/3/11,363,302
2020/3/12,336,294
2020/3/13,341,290
2020/3/16,320,276.5
2020/3/17,315.5,268
2020/3/18,301.5,260
2020/3/19,274,248
2020/3/20,301,270
2020/3/23,308,255
2020/3/24,330,267.5
2020/3/25,334.5,277
2020/3/26,343.5,280
2020/3/27,340,273
2020/3/30,336.5,267.5
2020/3/31,327.5,274
2020/4/1,334,271.5
2020/4/6,341,275.5
2020/4/7,347,283
2020/4/8,349.5,285
2020/4/9,351.5,283
2020/4/10,350,279.5
2020/4/13,351.5,278.5
2020/4/14,365.5,285
2020/4/15,365.5,287.5
2020/4/16,361.5,286.5
2020/4/17,368,306.5
2020/4/20,370,304
2020/4/21,353.5,295
2020/4/22,346,294
2020/4/23,351,295.5
2020/4/24,348.5,294
2020/4/27,372,298
2020/4/28,375,296.5
2020/4/29,398,299
2020/4/30,415,304.5
2020/5/4,399.5,295
2020/5/5,401.5,295.5
2020/5/6,408,296
2020/5/7,411,297.5
2020/5/8,411.5,297.5
2020/5/11,410,301
2020/5/12,407,295
2020/5/13,420,297
2020/5/14,411,293
2020/5/15,411,298
2020/5/18,440.5,290
2020/5/19,462,291.5
2020/5/20,470,294
2020/5/21,464.5,297.5
2020/5/22,442,292
2020/5/25,460,292
2020/5/26,460,295.5
2020/5/27,464.5,296.5
2020/5/28,460,294
2020/5/29,463,292
2020/6/1,461.5,295.5
2020/6/2,485,296.5
2020/6/3,490,301
2020/6/4,490,306
2020/6/5,494,311.5
2020/6/8,494.5,318
2020/6/9,497.5,319
2020/6/10,500,322.5
2020/6/11,496.5,320.5
2020/6/12,492.5,316
2020/6/15,492.5,309.5
2020/6/16,510,315
2020/6/17,510,315
2020/6/18,513,314.5
2020/6/19,546,314.5
2020/6/22,576,312
