0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,2016-10-26,ORL,MIA,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
1,2016-10-28,ORL,DET,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Andre Drummond,Boban Marjanovic,Ish Smith,Kentavious Caldwell-Pope,Marcus Morris,Reggie Bullock,Reggie Jackson,Tobias Harris,none,none,none,none,none,none,none,,,,,,,,,,
2,2016-10-29,ORL,CLE,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3,2016-11-01,ORL,PHI,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Ben Simmons,Dario Saric,Joel Embiid,Nerlens Noel,Nik Statuskas,Richaun Holmes,Robert Covington,T.J. McConnell,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,,,,,,,,,,
4,2016-11-03,ORL,SAC,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Ben McLemore,DeMarcus Cousins,Garrett Temple,Rudy Gay,Willie Cauley Stein,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
5,2016-11-05,ORL,WAS,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Bradley Beal,John Wall,Kelly Oubre Jr,Markieff Morris,Otto Porter Jr,Tomas Satoransky,Trey Burke,none,none,none,none,none,none,none,none,,,,,,,,,,
6,2016-11-07,ORL,CHI,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Bobby Portis,Doug McDermott,Jimmy Butler,Michael Carter-Williams,Rajon Rondo,Robin Lopez,Taj Gibson,none,none,none,none,none,none,none,none,,,,,,,,,,
7,2016-11-09,ORL,MIN,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Andrew Wiggins,Gorgui Dieng,Karl Anthony Towns,Nemanja Bjelica,Ricky Rubio,Tyus Jones,Zach Lavine,none,none,none,none,none,none,none,none,,,,,,,,,,
8,2016-11-11,ORL,UTA,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Alec Burks,Derrick Favors,George Hill,Gordon Hayward,Joe Ingles,Raul Neto,Rodney Hood,Rudy Gobert,Trey Lyles,none,none,none,none,none,none,,,,,,,,,,
9,2016-11-13,ORL,OKC,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Cameron Payne,Domantas Sabonis,Enes Freedom,Jerami Grant,Russell Westbrook,Steven Adams,Victor Oladipo,none,none,none,none,none,none,none,none,,,,,,,,,,
10,2016-11-14,ORL,IND,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Armoni Brooks,Georges Niang,Myles Turner,Paul George,Thaddeus Young,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
11,2016-11-16,ORL,NOP,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Anthony Davis,Buddy Hield,Cade Cunningham,E'Twaun Moore,Jrue Holiday,Langston Galloway,Solomon Hill,Tim Frazier,none,none,none,none,none,none,none,,,,,,,,,,
12,2016-11-19,ORL,DAL,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Justin Anderson,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,none,none,,,,,,,,,,
13,2016-11-21,ORL,MIL,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Tony Snell,none,none,none,none,none,none,none,none,none,,,,,,,,,,
14,2016-11-23,ORL,PHO,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Alex Len,Brandon Knight,Derrick Jones Jr,Devin Booker,Eric Bledsoe,Marquese Chriss,P.J. Tucker,T.J. Warren,none,none,none,none,none,none,none,,,,,,,,,,
15,2016-11-25,ORL,WAS,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Bradley Beal,John Wall,Kelly Oubre Jr,Markieff Morris,Otto Porter Jr,Tomas Satoransky,Trey Burke,none,none,none,none,none,none,none,none,,,,,,,,,,
